adduser	3.134
apt	2.6.1
base-files	12.4+deb12u14
base-passwd	3.6.1
bash	5.2.15-2+b13
bsdutils	1:2.38.1-5+deb12u3
coreutils	9.1-1
dash	0.5.12-2
debconf	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
diffutils	1:3.8-4
dirmngr	2.2.40-1.1+deb12u2
dpkg	1.21.23
e2fsprogs	1.47.0-2+b2
findutils	4.9.0-4
gcc-12-base:amd64	12.2.0-14+deb12u1
gnupg	2.2.40-1.1+deb12u2
gnupg-l10n	2.2.40-1.1+deb12u2
gnupg-utils	2.2.40-1.1+deb12u2
gpg	2.2.40-1.1+deb12u2
gpg-agent	2.2.40-1.1+deb12u2
gpg-wks-client	2.2.40-1.1+deb12u2
gpg-wks-server	2.2.40-1.1+deb12u2
gpgconf	2.2.40-1.1+deb12u2
gpgsm	2.2.40-1.1+deb12u2
gpgv	2.2.40-1.1+deb12u2
grep	3.8-5
gzip	1.12-1
hostname	3.23+nmu1
init-system-helpers	1.65.2+deb12u1
less	590-2.1~deb12u2
libacl1:amd64	2.3.1-3
libapt-pkg6.0:amd64	2.6.1
libassuan0:amd64	2.5.5-5
libattr1:amd64	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1:amd64	1:3.0.9-1
libblkid1:amd64	2.38.1-5+deb12u3
libbsd0:amd64	0.11.7-2
libbz2-1.0:amd64	1.0.8-5+b1
libc-bin	2.36-9+deb12u14
libc-l10n	2.36-9+deb12u14
libc6:amd64	2.36-9+deb12u14
libcap-ng0:amd64	0.8.3-1+b3
libcap2:amd64	1:2.66-4+deb12u3+b1
libcom-err2:amd64	1.47.0-2+b2
libcrypt1:amd64	1:4.4.33-2
libdb5.3:amd64	5.3.28+dfsg2-1
libdebconfclient0:amd64	0.270
libedit2:amd64	3.1-20221030-2
libext2fs2:amd64	1.47.0-2+b2
libffi8:amd64	3.4.4-1
libgcc-s1:amd64	12.2.0-14+deb12u1
libgcrypt20:amd64	1.10.1-3+deb12u1
libgdbm-compat4:amd64	1.23-3
libgdbm6:amd64	1.23-3
libgmp10:amd64	2:6.2.1+dfsg1-1.1
libgnutls30:amd64	3.7.9-2+deb12u7
libgpg-error0:amd64	1.46-1
libgssapi-krb5-2:amd64	1.20.1-2+deb12u5
libhogweed6:amd64	3.8.1-2
libicu72:amd64	72.1-3+deb12u1
libidn2-0:amd64	2.3.3-1+b1
libjson-perl	4.10000-1
libk5crypto3:amd64	1.20.1-2+deb12u5
libkeyutils1:amd64	1.6.3-2
libkrb5-3:amd64	1.20.1-2+deb12u5
libkrb5support0:amd64	1.20.1-2+deb12u5
libksba8:amd64	1.6.3-2
libldap-2.5-0:amd64	2.5.13+dfsg-5
libllvm19:amd64	1:19.1.7-3~deb12u1
liblz4-1:amd64	1.9.4-1
liblzma5:amd64	5.4.1-1
libmd0:amd64	1.0.4-2
libmount1:amd64	2.38.1-5+deb12u3
libncursesw6:amd64	6.4-4
libnettle8:amd64	3.8.1-2
libnpth0:amd64	1.6-3
libnss-wrapper:amd64	1.1.12-1
libp11-kit0:amd64	0.24.1-2
libpam-modules:amd64	1.5.2-6+deb12u2
libpam-modules-bin	1.5.2-6+deb12u2
libpam-runtime	1.5.2-6+deb12u2
libpam0g:amd64	1.5.2-6+deb12u2
libpcre2-8-0:amd64	10.42-1
libperl5.36:amd64	5.36.0-7+deb12u3
libpq5:amd64	18.4-1.pgdg12+1
libreadline8:amd64	8.2-1.3
libsasl2-2:amd64	2.1.28+dfsg-10
libsasl2-modules-db:amd64	2.1.28+dfsg-10
libseccomp2:amd64	2.5.4-1+deb12u1
libselinux1:amd64	3.4-1+b6
libsemanage-common	3.4-1
libsemanage2:amd64	3.4-1+b5
libsepol2:amd64	3.4-2.1
libsmartcols1:amd64	2.38.1-5+deb12u3
libsqlite3-0:amd64	3.40.1-2+deb12u2
libss2:amd64	1.47.0-2+b2
libssl3:amd64	3.0.20-1~deb12u2
libstdc++6:amd64	12.2.0-14+deb12u1
libsystemd0:amd64	252.39-1~deb12u2
libtasn1-6:amd64	4.19.0-2+deb12u1
libtinfo6:amd64	6.4-4
libudev1:amd64	252.39-1~deb12u2
libunistring2:amd64	1.0-2
libuuid1:amd64	2.38.1-5+deb12u3
libxml2:amd64	2.9.14+dfsg-1.3~deb12u5
libxslt1.1:amd64	1.1.35-1+deb12u4
libxxhash0:amd64	0.8.1-1
libz3-4:amd64	4.8.12-3.1
libzstd1:amd64	1.5.4+dfsg2-5
locales	2.36-9+deb12u14
login	1:4.13+dfsg1-1+deb12u2
logsave	1.47.0-2+b2
mawk	1.3.4.20200120-3.1
mount	2.38.1-5+deb12u3
ncurses-base	6.4-4
ncurses-bin	6.4-4
netbase	6.4
openssl	3.0.20-1~deb12u2
passwd	1:4.13+dfsg1-1+deb12u2
perl	5.36.0-7+deb12u3
perl-base	5.36.0-7+deb12u3
